,proportion_fitness_scores,ranked_fitness_scores
0,829,866
1,832,866
2,829,866
3,830,866
4,839,866
5,836,866
6,842,866
7,830,866
8,831,866
9,832,866
10,827,866
11,826,866
12,830,866
13,841,866
14,827,866
15,830,866
16,831,866
17,833,866
18,826,866
19,830,866
20,834,866
21,835,866
22,834,866
23,829,866
24,831,866
25,832,866
26,842,866
27,826,866
28,827,866
29,836,866
