,proportion_fitness_scores,ranked_fitness_scores
0,767,804
1,767,804
2,766,804
3,766,804
4,764,804
5,773,804
6,764,804
7,762,804
8,773,804
9,765,804
10,763,804
11,762,804
12,764,804
13,763,804
14,765,804
15,773,804
16,758,804
17,770,804
18,766,804
19,761,804
20,778,804
21,770,804
22,767,804
23,776,804
24,771,804
25,773,804
26,772,804
27,766,804
28,760,804
29,767,804
