,proportion_fitness_scores,ranked_fitness_scores
count,30.0,30.0
mean,767.0666666666667,804.0
std,4.884411045803558,0.0
min,758.0,804.0
25%,764.0,804.0
50%,766.0,804.0
75%,770.75,804.0
max,778.0,804.0
