,proportion_fitness_scores,ranked_fitness_scores
0,731,767
1,738,766
2,732,767
3,733,766
4,734,767
5,727,766
6,746,767
7,730,766
8,741,767
9,738,767
10,731,767
11,732,766
12,737,766
13,737,766
14,735,767
15,734,767
16,730,766
17,734,765
18,741,767
19,734,766
20,734,765
21,736,766
22,740,765
23,733,766
24,733,765
25,737,767
26,730,767
27,737,767
28,743,766
29,732,766
